220645,Corcoran's,"23 Boulevard Poissonnière, Paris, France",restaurant,Paris,48.871109,2.344361,3,ChIJtz_kakHTD4gRvZ2uz-D9C2U,1100,0100,1500,0100,1500,0100,1500,0100,1500,0100,1100,0100,1100,0100
220649,Corcoran's Irish Pub,"28 Rue Saint-André des Arts, Paris, France",restaurant,Paris,48.853322,2.342477,4,ChIJ02Lg3z1u5kcRIyN9MB7QdlY,1100,0200,1000,0200,1000,0200,1000,0200,1000,0300,1000,0500,1100,0500
220688,L'Orillon Bar,"35 Rue de l'Orillon, Paris, France",restaurant,Paris,48.870308,2.376376,4,ChIJ-VnxLORt5kcRe72j1-JVvyY,N/A,N/A,0800,1700,0800,1700,0800,1700,0800,1700,0800,1700,N/A,N/A
83259,Dédé la Frite,"52 Rue Notre-Dame des Victoires, Paris, France",restaurant,Paris,48.869824,2.342696,3,ChIJ3UV4TDxu5kcRGe9sS9VkE58,N/A,N/A,1200,1500,1200,1500,1200,1500,1200,1500,1200,1500,N/A,N/A
83353,Berthillon,"31 Rue Saint-Louis en l'Île, Paris, France",restaurant,Paris,48.851695,2.35675,4,ChIJaxE1EONx5kcRSm1sFRqBUTM,1000,1900,N/A,N/A,N/A,N/A,1000,1900,1000,1900,1000,1900,1000,1900
83356,Mariage Frères Salon de Thé,"30 Rue du Bourg Tibourg, Paris, France",restaurant,Paris,48.857547,2.356201,4,ChIJ_S_6Gt9x5kcR1Tm3YE6Gkxw,N/A,N/A,1030,1930,1030,1930,1030,1930,1030,1930,1030,1930,1030,1930
83357,Frog & Princess,"9 Rue Princesse, Paris, France",restaurant,Paris,48.852292,2.334527,4,ChIJW4UkYDJxhlQRpxkc5ONONEk,N/A,N/A,1000,1500,1000,1500,1000,1500,1000,1500,1000,1500,N/A,N/A
83359,Emporio Armani Caffé,"149 Boulevard Saint-Germain, Paris, France",restaurant,Paris,48.853698,2.332716,3,ChIJoVLK-r5rXz4RJAHZwykhw78,1000,0200,1000,0200,1000,0200,1000,0200,1000,0200,1000,0200,1000,0200
83365,L'Endroit,"67 Place du Docteur Félix Lobligeois, Paris, France",restaurant,Paris,48.886321,2.318141,4,ChIJB9ziB1qL5kcR9vp_tSdejPw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0000,0002
83379,Le Fumoir,"6 Rue de l'Amiral de Coligny, Paris, France",restaurant,Paris,48.860455,2.340799,3,ChIJw8kRaSFu5kcRFhLvX5DjiWY,1200,1800,1200,0000,1200,0000,1200,0000,1200,0000,1200,0000,1200,0000
