0000,Abbesses, 48.88432302440305, 2.338569352307389
0001,Alexandre Dumas,48.856464741569454, 2.3944151981771262
0002,Alma Marceau,48.86740515631188, 2.30208682460153
0003,Alésia,48.82860940484582, 2.3271669423528976
0004,Anatole France,48.89232056643519, 2.285015640507511
0005,Anvers,48.88307232704768, 2.344025098299166
0006,Argentine,48.87576958694326, 2.2893778406273877
0007,Arts et Métiers,48.865650072904174, 2.356081685736985
0008,Arts et Métiers,48.865650072904174, 2.356081685736985
0009,Assemblée Nationale,48.861466077981255, 2.320349517115621
0010,Aubervilliers-Pantin - Quatre Chemins,48.90394800160789, 2.3920879406281594
0011,Avenue Émile Zola,48.84678207239002, 2.2860374964476597
0012,Avron,48.851507254354885, 2.3983347982982863
0013,Barbès Rochechouart,48.88356980734452, 2.349029557821267
0014,Barbès Rochechouart,48.88356980734452, 2.349029557821267
0015,Basilique de Saint-Denis,48.93819108671152, 2.360895755972284
0016,Bastille,48.853191282518274, 2.3691674751769085
0017,Bastille,48.853191282518274, 2.3691674751769085
0018,Bastille,48.853191282518274, 2.3691674751769085
0019,Bel Air,48.84214930666475, 2.4012186578101513
0020,Belleville,48.872266456105194, 2.3769791848062236
0021,Belleville,48.872266456105194, 2.3769791848062236
0022,Bercy,48.84027202155411, 2.380428386655835
0023,Bercy,48.84027202155411, 2.380428386655835
0024,Bibliothèque François Mitterand,48.829892413753925, 2.3764943676114174
0025,Billancourt,48.83214111695332, 2.2381336592027274
0026,Bir-Hakeim,48.853990332423784, 2.28933201179102
0027,Blanche,48.88428146035958, 2.3337243216589427
0028,Bobigny - Pablo Picasso,48.90731027608758, 2.4494800276746838
0029,Bobigny-Pantin - Raymond Queneau,48.895363130368025, 2.42529108416436
0030,Boissière,48.86704399984411, 2.2902639136418728
0031,Bolivar,48.880954713075745, 2.3740165676127885
0032,Bonne Nouvelle,48.87041547755209, 2.3505597848061495
0033,Bonne Nouvelle,48.87041547755209, 2.3505597848061495
0034,Botzaris,48.87965192715004, 2.3890278117917045
0035,Boucicaut,48.842676735454816, 2.2848941252833286
0036,Boulogne - Jean Jaurès,48.842177461169946, 2.2389525885064168
0037,Boulogne - Pont de Saint-Cloud - Rond Point Rhin et Danube,48.84099327346735, 2.2276287647746216
0038,Bourse,48.8688610103058, 2.3412530271345564
0039,Brochant,48.89052490107475, 2.320213215493025
0040,Bréguet-Sabin,48.855823957266615, 2.370048711791067
0041,Buttes Chaumont,48.87925117048115, 2.3818959830430675
0042,Buzenval,48.85193839359277, 2.401175542477242
0043,Bérault,48.84571588741963, 2.4272395234329083
0044,Cadet,48.8756027058544, 2.3434348559705405
0045,Cambronne,48.84774856789312, 2.3030728001486964
0046,Campo-Formio,48.83582897553681, 2.3583739406262914
0047,Cardinal Lemoine,48.84680214946828, 2.351718228984458
0048,Carrefour Pleyel,48.919858632199144, 2.34297435412124
0049,Censier Daubenton,48.840779087801515, 2.3514793829548633
0050,Champs Élysées - Clémenceau,48.86763309851485, 2.313387742477695
0051,Champs Élysées - Clémenceau,48.86763309851485, 2.313387742477695
0052,Chardon Lagâche,48.84521493716405, 2.2664446964476235
0053,Charenton-Écoles,48.82181928851174, 2.4139099945964357
0054,Charles Michels,48.84676184759737, 2.285963527133938
0055,Charles de Gaulle - Étoile,48.87396686703322, 2.295194442477852
0056,Charles de Gaulle - Étoile,48.87396686703322, 2.295194442477852
0057,Charles de Gaulle - Étoile,48.87396686703322, 2.295194442477852
0058,Charonne,48.854839149614, 2.3852824406268103
0059,Chaussée d'Antin La Fayette,48.87309955622994, 2.3331220099409964
0060,Chaussée d'Antin La Fayette,48.87309955622994, 2.3331220099409964
0061,Chemin Vert,48.85808180765439, 2.3681575502838075
0062,Chevaleret,48.83519096427088, 2.3679515234325916
0063,Château Landon,48.87926848388297, 2.3620522117916924
0064,Château Rouge,48.8873538914103, 2.3497063694634996
0065,Château d'Eau,48.8725671306241, 2.3560346713135902
0066,Château de Vincennes,48.84481836465694, 2.437203127133892
0067,Châtelet,48.85885354010011, 2.3473609578205767
0068,Châtelet,48.85885354010011, 2.3473609578205767
0069,Châtelet,48.85885354010011, 2.3473609578205767
0070,Châtelet,48.85885354010011, 2.3473609578205767
0071,Châtelet,48.85885354010011, 2.3473609578205767
0072,Châtillon-Montrouge,48.81094075727912, 2.301686511789819
0073,Cité,48.820676188894126, 2.3381370848048166
0074,Cluny - La Sorbonne,48.84362533519871, 2.351855355969645
0075,Colonel Fabien,48.87762013972848, 2.370664355970585
0076,Commerce,48.84483474995057, 2.2937886829549856
0077,Concorde,48.86666741587461, 2.3224930117913773
0078,Concorde,48.86666741587461, 2.3224930117913773
0079,Concorde,48.86666741587461, 2.3224930117913773
0080,Convention,48.83752231546959, 2.296379052268476
0081,Corentin Celton,48.82754553563589, 2.278994311790282
0082,Corentin-Cariou,48.895096186734136, 2.382403240627893
0083,Corvisart,48.8300148365345, 2.3505988001482114
0084,Cour Saint-Émilion,48.83378199933464, 2.386064827133611
0085,Courcelles,48.879584229268296, 2.3035563001495922
0086,Couronnes,48.869123123428096, 2.380468127134566
0087,Crimée,48.89147390385737, 2.3774725713141374
0088,Croix de Chavaux,48.85800704380718, 2.4356246829553565
0089,Créteil-Préfecture,48.7800557053963, 2.4593771271321097
0090,Créteil-Université,48.7800557053963, 2.4593771271321097
0091,Créteil-l'Echat - Hôpital Henri Mondor,48.79689289748474, 2.4494857424757366
0092,Danube,48.88213951037096, 2.393500613642281
0093,Daumesnil,48.839694677371256, 2.3958022424769023
