85771,La Colline - Théâtre National,15 rue Malte-Brun,attraction,Paris,48.864856704503,2.3977698827645,ChIJpVWvJI5t5kcRqgBf4oQqbxM,N/A,N/A,N/A,N/A,1330,1830,1330,1830,1330,1830,1330,1830,N/A,N/A,5
85823,Basilique du Sacré-Cœur,35 Rue du Chevalier de la Barre,attraction,Paris,48.886709241631,2.3430061340332,ChIJ442GNENu5kcRGYUrvgqHw88,0600,2230,0600,2230,0600,2230,0600,2230,0600,2230,0600,2230,0600,2230,5
86076,Pont Saint-Michel,Pont Saint-Michel,attraction,Paris,48.854063334496,2.3446261882782,ChIJc83LfuBx5kcRndMurHNs7-w,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
86091,Les Buttes Chaumont,,attraction,Paris,48.87753416461,2.3801101168223,ChIJh9M-FMZt5kcRkZSVdmDta_I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
86235,Bistrot Balard,1 Place Balard,attraction,Paris,48.836861,2.278676,ChIJBQKK2XRw5kcRTu7RrSXJxgI,N/A,N/A,0800,0000,0800,0000,0800,0000,0800,0000,0800,0000,0900,0000,4
86268,Espace B,16 Rue Barbanègre,attraction,Paris,48.893216793674,2.3843334898046,ChIJbTCIVcxt5kcRRE_B1UE3xL0,N/A,N/A,0800,0130,0800,0130,0800,0130,0800,0130,0800,0130,1200,0130,4
88065,Carrousel de la Tour Eiffel,Promenade Quai Branly,attraction,Paris,48.85891101892,2.2926163969758,ChIJY9vLOeJv5kcRwTd_51RYebs,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,4
217390,Comedie Caumartin,"25 rue de Caumartin, Paris, , France",attraction,Paris,48.87157624981,2.3281921732844,ChIJZ6QC-DNu5kcRstrsS8ry83c,N/A,N/A,1130,1800,1130,2045,1130,2045,1130,2045,1130,2045,1130,2045,4
217393,Café d'Orleans - Paris,"43 avenue du Général Leclerc, Paris, 75014, France",attraction,Paris,48.83022193097,2.3289419131474,ChIJa4dgwrBx5kcRmIhMkphrNE8,0800,0200,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200,0800,0200,4
217395,Pyramide du Louvre,"Cour Napoléon du Louvre, Paris, 75001, France",attraction,Paris,48.860854,2.335812,ChIJQdQyeiZu5kcRUfQHfB-OCLA,0900,1800,0900,1800,N/A,N/A,0900,2145,0900,1800,0900,2145,0900,1800,5
217396,"Carrousel du Louvre, l'Officiel","99 rue de Rivoli, Paris, 75001, France",attraction,Paris,48.861423727842,2.3340858198543,ChIJ6SJcCP5x5kcRJt8m9_lR7_Q,1000,2000,1000,2000,1100,1900,1000,2000,1000,2000,1000,2000,1000,2000,4
217399,Le Germain,"25/27 rue de Buci, Paris, 75006, France",attraction,Paris,48.853728524513,2.3366878625399,ChIJLwZujf1vcVMRwer8l2RUzLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
217403,Indiana Café - Denfert Rochereau,"1 avenue du Général Leclerc, Paris, 75014, France",attraction,Paris,48.833571441584,2.3318281797317,ChIJffWJ0rlx5kcREFjlg6YgO6s,0800,0130,0800,0130,0800,0200,0800,0200,0800,0200,0800,0200,0800,0200,4
